algorithm,dimensionality,computational_time,relative_error_to_our_ldlt
LDLT,10000,0.008613707992481068,0.0
NumPy solve,10000,0.13184700001147576,4.815075741635937e-15
SciPy LDLT,10000,0.002410957997199148,4.050102235063922e-15
LDLT,50000,0.3009374589892104,0.0
NumPy solve,50000,0.2853575419867411,3.411589363993954e-14
SciPy LDLT,50000,0.03151870801229961,1.5689303035474548e-14
LDLT,100000,0.7758690830087289,0.0
NumPy solve,100000,0.476567374978913,6.992638651013246e-14
SciPy LDLT,100000,0.02598825001041405,2.7788592464323442e-14
