dataset_name,scenario_type,correlation_strength,zero_probability,method,method_type,beta_rule,condition_number,converged,iterations,time_seconds,initial_gradient_norm,final_gradient_norm,gradient_reduction_factor,objective_value,train_accuracy,test_accuracy,train_mse,test_mse,relative_error_to_reference,relative_error_to_ldlt,q_dimension,lambda_reg,estimated_L,power_method_lambda_max_estimate,mu,activation,hidden_width,total_output_weights,alpha,beta
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,LDLT,scratch,,217.61299997203432,True,0,0.002917000005254522,2.63930065736378,7.291051230584678e-16,2.7624936212713333e-16,0.008263761484496092,1.0,1.0,0.002434899729621742,0.002483157967403816,1.3668513692019067e-14,0.0,71,0.05,10.880649998601717,10.77292079069477,0.05,tanh,70,210,,
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Heavy Ball,scratch,constant momentum,217.61299997203432,True,110,0.0021918340062256902,2.63930065736378,6.579954749598831e-07,2.4930675219742133e-07,0.008263761484524436,1.0,1.0,0.00243489864673237,0.002483156313459947,1.1449565704485272e-07,1.1449565719677447e-07,71,0.05,10.880649998601717,10.77292079069477,0.05,tanh,70,210,0.32242928086501177,0.7621808092181469
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov,scratch,constant beta,217.61299997203432,True,135,0.002688749984372407,2.63930065736378,9.970113921122543e-07,3.7775589883272414e-07,0.008263761490237357,1.0,1.0,0.0024348986539978064,0.0024831504007025765,1.2772814577512124e-05,1.2772814576983366e-05,71,0.05,10.880649998601717,10.77292079069477,0.05,tanh,70,210,0.09190627399360433,0.8730296725874481
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,scratch,variable beta,217.61299997203432,True,832,0.009468874981394038,2.63930065736378,9.952400691000132e-07,3.7708476536132553e-07,0.008263761492514446,1.0,1.0,0.0024349140936922513,0.0024831684121611143,1.634770318292631e-05,1.6347703181666267e-05,71,0.05,10.880649998601717,10.77292079069477,0.05,tanh,70,210,0.09190627399360433,0.9964193861074879
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,PyTorch SGD momentum,library optimizer,library constant momentum,217.61299997203432,True,110,0.04047983398777433,2.63930065736378,6.579954763534045e-07,2.493067527254102e-07,0.008263761484524434,1.0,1.0,0.002434898646732368,0.0024831563134599458,1.1449565695564036e-07,1.1449565710756208e-07,71,0.05,10.880649998601717,10.77292079069477,0.05,tanh,70,210,0.32242928086501177,0.7621808092181469
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,PyTorch SGD Nesterov,library optimizer,library nesterov,217.61299997203432,True,135,0.009590208006557077,2.63930065736378,9.970113921939682e-07,3.7775589886368457e-07,0.008263761490237359,1.0,1.0,0.0024348986539978064,0.0024831504007025757,1.2772814577519588e-05,1.2772814576990826e-05,71,0.05,10.880649998601717,10.77292079069477,0.05,tanh,70,210,0.09190627399360433,0.8730296725874481
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,NumPy solve,built-in benchmark,,217.61299997203432,True,0,4.300000728107989e-05,2.63930065736378,1.0434567190678242e-15,3.9535348735526894e-16,0.00826376148449609,1.0,1.0,0.0024348997296217458,0.0024831579674038226,0.0,1.3668513692019067e-14,71,0.05,10.880649998601717,10.77292079069477,0.05,tanh,70,210,,
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,SciPy LDLT,built-in benchmark,,217.61299997203432,True,0,0.0014616670086979866,2.63930065736378,7.743291458017378e-16,2.9338421283733667e-16,0.00826376148449609,1.0,1.0,0.0024348997296217405,0.002483157967403814,1.2832452770385009e-14,9.493734797986799e-15,71,0.05,10.880649998601717,10.77292079069477,0.05,tanh,70,210,,
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,LDLT,scratch,,230.03920867447704,True,0,0.0022838340082671493,2.83713538438988,8.326681719701876e-16,2.93489051157582e-16,0.006473523389186113,1.0,1.0,0.0017044972423465776,0.00182312300169106,1.6350456800229667e-14,0.0,71,0.05,11.501960433723852,11.388079637350348,0.05,tanh,70,210,,
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Heavy Ball,scratch,constant momentum,230.03920867447704,True,110,0.0009512499964330345,2.83713538438988,9.528378811912932e-07,3.358450521726509e-07,0.0064735233892364045,1.0,1.0,0.001704497661210052,0.0018231236207610607,1.4731642582629782e-07,1.4731642624377783e-07,71,0.05,11.501960433723852,11.388079637350348,0.05,tanh,70,210,0.3060756447618775,0.7678868690078631
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Nesterov,scratch,constant beta,230.03920867447704,True,138,0.0011276250006631017,2.83713538438988,9.829267549344468e-07,3.4645042331873885e-07,0.006473523395635592,1.0,1.0,0.0017045176968289162,0.0018231420973875158,1.4038819163189622e-05,1.4038819162687604e-05,71,0.05,11.501960433723852,11.388079637350348,0.05,tanh,70,210,0.08694170057027766,0.8762915433848846
