dataset_name,scenario_type,correlation_strength,zero_probability,method,iteration,grad_norm,objective_value,objective_gap_to_reference,relative_error_to_reference
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Heavy Ball,0,2.161184158815264,0.5,0.48305436396147455,0.6047557546465165
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Heavy Ball,50,0.006293023546475597,0.016947819886279743,2.1838477543036083e-06,0.0007234534620807934
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Heavy Ball,100,5.928763191855506e-06,0.01694563604049525,1.969809731994232e-12,6.913443085385064e-07
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov,0,2.161184158815264,0.5,0.48305436396147455,0.6047557546465165
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov,50,0.0006054515685607703,0.016947182890197438,1.5468516719983894e-06,0.0060097444849040345
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov,100,1.04448233580547e-05,0.016945636578900542,5.403751023036474e-10,0.00011642171239171078
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,0,2.161184158815264,0.5,0.48305436396147455,0.6047557546465165
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,50,0.0019002730297098108,0.016961735501507452,1.6099462982012425e-05,0.018394998695777535
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,100,0.0005421364261490809,0.016947152719356484,1.516680831044337e-06,0.006140791240563581
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,150,0.00019572797933141103,0.01694585550874435,2.194702189116382e-07,0.0024086863797421567
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,200,0.00010366130344553371,0.016945702179490096,6.614096465656916e-08,0.0013289566104076865
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,250,5.5180415746199386e-05,0.01694565389884162,1.7860316180867697e-08,0.0006753414286356605
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,300,3.4818383522897716e-05,0.016945644011598936,7.973073496564398e-09,0.0004743418255544852
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,350,2.35751656824656e-05,0.016945640200399965,4.161874525565601e-09,0.00035842861507819204
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,400,1.2845418064396312e-05,0.01694563724174002,1.2032145800533467e-09,0.00019314601046922783
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,450,1.0831402000765956e-05,0.0169456368898541,8.513286603450965e-10,0.00015978407502590777
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,500,6.715880891109396e-06,0.016945636379932693,3.414072531626733e-10,0.00010280590327681401
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,550,4.653828472110714e-06,0.01694563620006219,1.6153674925467598e-10,7.096168870145748e-05
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,600,4.197926958785724e-06,0.016945636176962726,1.3843728594031823e-10,6.672995607525224e-05
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,650,2.8405023203454926e-06,0.016945636101077445,6.255200524218907e-11,4.478508012450362e-05
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,700,1.7797176748499457e-06,0.016945636063607054,2.508161386916008e-11,2.852490165989457e-05
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,750,1.664838484550646e-06,0.01694563605985239,2.1326950622180263e-11,2.5915937392693404e-05
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Nesterov variable beta,800,1.1486436877448362e-06,0.01694563604949301,1.096757060170539e-11,1.9295741193988605e-05
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,PyTorch SGD momentum,0,2.161184158815264,0.5,0.48305436396147455,0.6047557546465165
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,PyTorch SGD momentum,50,0.006293023546474106,0.016947819886279743,2.1838477543036083e-06,0.0007234534620806687
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,PyTorch SGD momentum,100,5.928763192734143e-06,0.016945636040495246,1.96980626254728e-12,6.913443086177499e-07
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,PyTorch SGD Nesterov,0,2.161184158815264,0.5,0.48305436396147455,0.6047557546465165
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,PyTorch SGD Nesterov,50,0.0006054515685608747,0.016947182890197435,1.54685167199492e-06,0.006009744484903919
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,PyTorch SGD Nesterov,100,1.0444823358032373e-05,0.016945636578900542,5.403751023036474e-10,0.00011642171239171573
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Heavy Ball,0,2.156014562113879,0.5,0.48764531809136447,0.5612311009460424
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Heavy Ball,50,0.0020476565132892125,0.012354988872576226,3.0696394071223765e-07,0.00031238341935772786
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Nesterov,0,2.156014562113879,0.5,0.48764531809136447,0.5612311009460424
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Nesterov,50,0.00025503745993473136,0.012355012929768972,3.3102113345881423e-07,0.0029354143611146537
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Nesterov,100,2.4428592663576196e-06,0.01235468194565555,3.70200363419837e-11,3.262914183111506e-05
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Nesterov variable beta,0,2.156014562113879,0.5,0.48764531809136447,0.5612311009460424
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Nesterov variable beta,50,0.0011850711777787104,0.012362807674784733,8.125766149219907e-06,0.014491387372397609
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Nesterov variable beta,100,0.000264537543678364,0.012355089287147146,4.0737851163263894e-07,0.0032516628590566064
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Nesterov variable beta,150,0.00011030231493388382,0.012354760312551082,7.8403915568237e-08,0.0014574294300674629
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Nesterov variable beta,200,5.520757909186465e-05,0.01235470249617594,2.058754042591482e-08,0.0007763582106338746
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Nesterov variable beta,250,2.8181808777420493e-05,0.012354687611627032,5.702991518266587e-09,0.0004120783714290429
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Nesterov variable beta,300,1.6345077347013102e-05,0.012354683847353163,1.938717649960231e-09,0.0002417233049504341
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Nesterov variable beta,350,1.073521116881797e-05,0.012354682811685138,9.030496246620334e-10,0.00017052488827785817
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Nesterov variable beta,400,6.205585179243082e-06,0.0123546821951523,2.8651678599111996e-10,9.37323884169499e-05
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Nesterov variable beta,450,4.929036243030924e-06,0.012354682095003497,1.8636798354565443e-10,7.672544178450753e-05
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Nesterov variable beta,500,2.9977596536893624e-06,0.012354681978412704,6.97771909696776e-11,4.7255407704666706e-05
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Nesterov variable beta,550,2.0783680458884278e-06,0.012354681942704206,3.406869231170617e-11,3.3169743100485205e-05
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Nesterov variable beta,600,1.5349197068523799e-06,0.012354681927766554,1.9131040501774166e-11,2.5147797519900043e-05
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,PyTorch SGD momentum,0,2.156014562113879,0.5,0.48764531809136447,0.5612311009460424
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,PyTorch SGD momentum,50,0.0020476565132883564,0.012354988872576226,3.0696394071223765e-07,0.0003123834193576082
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,PyTorch SGD Nesterov,0,2.156014562113879,0.5,0.48764531809136447,0.5612311009460424
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,PyTorch SGD Nesterov,50,0.00025503745993480677,0.01235501292976897,3.310211334570795e-07,0.002935414361114567
