method,iteration,gradient_norm,relative_gap,parameter_name,parameter_value,dimensionality,epsilon
Nesterov,922,0.0009945639420273172,3.560900856965088e-06,output_weight_count,25000,25000,0.001
Heavy Ball,0,10.561456546695204,0.48437874316210666,output_weight_count,50000,50000,0.001
Heavy Ball,50,36.018038437409565,0.9973411765999849,output_weight_count,50000,50000,0.001
Heavy Ball,100,38.54215205011798,1.0489874562509611,output_weight_count,50000,50000,0.001
Heavy Ball,150,28.548885201990036,0.5698522674323172,output_weight_count,50000,50000,0.001
Heavy Ball,200,15.384562037416483,0.16817061508511433,output_weight_count,50000,50000,0.001
Heavy Ball,250,4.5667187621211145,0.01928996911182197,output_weight_count,50000,50000,0.001
Heavy Ball,300,2.1220322045985878,0.0061828020596958015,output_weight_count,50000,50000,0.001
Heavy Ball,350,4.6174826894415055,0.015716493265562872,output_weight_count,50000,50000,0.001
Heavy Ball,400,4.502551032894937,0.014304433988873582,output_weight_count,50000,50000,0.001
Heavy Ball,450,3.1340672380110908,0.006891263492896097,output_weight_count,50000,50000,0.001
Heavy Ball,500,1.5586160431931957,0.0017869921988944298,output_weight_count,50000,50000,0.001
Heavy Ball,550,0.34877518281811953,0.00015153495076589488,output_weight_count,50000,50000,0.001
Heavy Ball,600,0.35202595057455555,0.0001248236388196565,output_weight_count,50000,50000,0.001
Heavy Ball,650,0.5769357954703199,0.0002420062076044123,output_weight_count,50000,50000,0.001
Heavy Ball,700,0.5188524265966533,0.00018861406895468238,output_weight_count,50000,50000,0.001
Heavy Ball,750,0.3394669982330147,8.115914296527235e-05,output_weight_count,50000,50000,0.001
Heavy Ball,800,0.15361877731281628,1.7366374184799027e-05,output_weight_count,50000,50000,0.001
Heavy Ball,850,0.02029743502814047,1.0497482283329529e-06,output_weight_count,50000,50000,0.001
Heavy Ball,900,0.05189402666357402,2.2657063466179073e-06,output_weight_count,50000,50000,0.001
Heavy Ball,950,0.07052001984528371,3.553559116194205e-06,output_weight_count,50000,50000,0.001
Heavy Ball,1000,0.05904237717416082,2.4555688867694547e-06,output_weight_count,50000,50000,0.001
Heavy Ball,1050,0.03624789007172126,9.323228276209017e-07,output_weight_count,50000,50000,0.001
Heavy Ball,1100,0.014644143167016477,1.6141275860706572e-07,output_weight_count,50000,50000,0.001
Heavy Ball,1150,0.0008406354854762884,1.014235409893538e-08,output_weight_count,50000,50000,0.001
Nesterov,0,10.561456546695204,0.48437874316210666,output_weight_count,50000,50000,0.001
Nesterov,50,0.7291483691036448,0.06202156052145846,output_weight_count,50000,50000,0.001
Nesterov,100,0.35016762704696847,0.042527567065274885,output_weight_count,50000,50000,0.001
Nesterov,150,0.20261977094673173,0.022349956753858712,output_weight_count,50000,50000,0.001
Nesterov,200,0.15021245851665405,0.017006434010200893,output_weight_count,50000,50000,0.001
Nesterov,250,0.11361920886928457,0.011112044738363702,output_weight_count,50000,50000,0.001
Nesterov,300,0.08659488629175102,0.0069086369739788205,output_weight_count,50000,50000,0.001
Nesterov,350,0.06732956187054176,0.004838227314746323,output_weight_count,50000,50000,0.001
Nesterov,400,0.05416771158969536,0.0033637971552010655,output_weight_count,50000,50000,0.001
Nesterov,450,0.040129491604480046,0.0020583994827592413,output_weight_count,50000,50000,0.001
Nesterov,500,0.03582428325380165,0.001561944255245952,output_weight_count,50000,50000,0.001
Nesterov,550,0.025785117836138342,0.0009782026094274886,output_weight_count,50000,50000,0.001
Nesterov,600,0.02200967448991762,0.0006929718617399751,output_weight_count,50000,50000,0.001
Nesterov,650,0.017960627970487555,0.0004595665827854846,output_weight_count,50000,50000,0.001
Nesterov,700,0.013059781667919369,0.00029138750343302156,output_weight_count,50000,50000,0.001
Nesterov,750,0.01278229835670647,0.00022858401407987658,output_weight_count,50000,50000,0.001
Nesterov,800,0.008470553028341371,0.00013382264535480304,output_weight_count,50000,50000,0.001
Nesterov,850,0.008309746362821465,0.00010377628539753186,output_weight_count,50000,50000,0.001
Nesterov,900,0.005771573713233942,6.31352411460083e-05,output_weight_count,50000,50000,0.001
Nesterov,950,0.005426395925540472,4.8812493009479235e-05,output_weight_count,50000,50000,0.001
Nesterov,1000,0.003955207589978638,2.9270962815144963e-05,output_weight_count,50000,50000,0.001
Nesterov,1050,0.003515387619333648,2.1554857325054716e-05,output_weight_count,50000,50000,0.001
Nesterov,1100,0.002632742124518086,1.3926299860928665e-05,output_weight_count,50000,50000,0.001
Nesterov,1150,0.0024237139389983297,1.0327737416312988e-05,output_weight_count,50000,50000,0.001
Nesterov,1200,0.0016467805685362628,6.221901126899493e-06,output_weight_count,50000,50000,0.001
Nesterov,1250,0.0016642269258873106,4.747217765842943e-06,output_weight_count,50000,50000,0.001
Nesterov,1300,0.001085986856595866,2.9175171436749553e-06,output_weight_count,50000,50000,0.001
Nesterov,1350,0.0011161714830152311,2.3132500737536865e-06,output_weight_count,50000,50000,0.001
Nesterov,1361,0.0009952236766950769,2.0439612595964107e-06,output_weight_count,50000,50000,0.001
Heavy Ball,0,15.041616548544285,0.49052927946001,output_weight_count,100000,100000,0.001
Heavy Ball,50,57.40094015689754,1.2459708867975074,output_weight_count,100000,100000,0.001
Heavy Ball,100,68.58271209694125,1.644649790345339,output_weight_count,100000,100000,0.001
Heavy Ball,150,56.61181676946113,1.0970374854593443,output_weight_count,100000,100000,0.001
Heavy Ball,200,34.067111869366016,0.4097171666380363,output_weight_count,100000,100000,0.001
Heavy Ball,250,11.308802435401025,0.06046598184050735,output_weight_count,100000,100000,0.001
Heavy Ball,300,5.844165149378264,0.02445528774464658,output_weight_count,100000,100000,0.001
Heavy Ball,350,14.17041415616755,0.07372453672191415,output_weight_count,100000,100000,0.001
Heavy Ball,400,15.415071652365038,0.08238778255269197,output_weight_count,100000,100000,0.001
Heavy Ball,450,11.9624999625718,0.049171907360534096,output_weight_count,100000,100000,0.001
Heavy Ball,500,6.640949644060657,0.015661053286874154,output_weight_count,100000,100000,0.001
Heavy Ball,550,1.6475777591484269,0.0015330478282981307,output_weight_count,100000,100000,0.001
Heavy Ball,600,1.853021735034235,0.001679239079367751,output_weight_count,100000,100000,0.001
Heavy Ball,650,3.4032944814273405,0.004101890714022956,output_weight_count,100000,100000,0.001
Heavy Ball,700,3.4183393394223907,0.00403754099162177,output_weight_count,100000,100000,0.001
Heavy Ball,750,2.49369908704091,0.002133704541558621,output_weight_count,100000,100000,0.001
Heavy Ball,800,1.2616778168799114,0.0005786198045740279,output_weight_count,100000,100000,0.001
Heavy Ball,850,0.1824793246058967,4.266647324647002e-05,output_weight_count,100000,100000,0.001
Heavy Ball,900,0.5264748830788437,0.00011355353031718834,output_weight_count,100000,100000,0.001
Heavy Ball,950,0.8008818601740375,0.0002248629181209709,output_weight_count,100000,100000,0.001
Heavy Ball,1000,0.7484446745414575,0.00019300523482944192,output_weight_count,100000,100000,0.001
Heavy Ball,1050,0.5126803423475216,9.117265348111865e-05,output_weight_count,100000,100000,0.001
Heavy Ball,1100,0.23206508999870418,2.05788497625696e-05,output_weight_count,100000,100000,0.001
Heavy Ball,1150,0.012629874058738265,1.4710495170738858e-06,output_weight_count,100000,100000,0.001
Heavy Ball,1200,0.14026733106776518,7.551541716496052e-06,output_weight_count,100000,100000,0.001
Heavy Ball,1250,0.1851555123399573,1.1902760136406343e-05,output_weight_count,100000,100000,0.001
Heavy Ball,1300,0.16193826602446185,9.137442963727538e-06,output_weight_count,100000,100000,0.001
Heavy Ball,1350,0.10377376764942688,3.797484037068935e-06,output_weight_count,100000,100000,0.001
Heavy Ball,1400,0.04085887784568892,7.171721778109763e-07,output_weight_count,100000,100000,0.001
Heavy Ball,1450,0.009310411686782446,1.1481527582672679e-07,output_weight_count,100000,100000,0.001
Heavy Ball,1500,0.035694191116743296,4.6933328072193414e-07,output_weight_count,100000,100000,0.001
Heavy Ball,1550,0.042152086351104213,6.159149921053375e-07,output_weight_count,100000,100000,0.001
Heavy Ball,1600,0.03459077281218469,4.124256397092241e-07,output_weight_count,100000,100000,0.001
Heavy Ball,1650,0.020622917161537097,1.513087095218052e-07,output_weight_count,100000,100000,0.001
Heavy Ball,1700,0.006706960178931166,2.236202161116918e-08,output_weight_count,100000,100000,0.001
Heavy Ball,1749,0.000786424697262534,3.4241031468540406e-09,output_weight_count,100000,100000,0.001
Nesterov,0,15.041616548544285,0.49052927946001,output_weight_count,100000,100000,0.001
Nesterov,50,1.1157791293662829,0.06951634353002334,output_weight_count,100000,100000,0.001
Nesterov,100,0.563153105549492,0.05264750137395987,output_weight_count,100000,100000,0.001
Nesterov,150,0.34607171964005906,0.03207357838811331,output_weight_count,100000,100000,0.001
Nesterov,200,0.26803148285845935,0.026465407559093136,output_weight_count,100000,100000,0.001
Nesterov,250,0.2100275803754011,0.018833680730472264,output_weight_count,100000,100000,0.001
Nesterov,300,0.16245760235055282,0.013423122486494483,output_weight_count,100000,100000,0.001
Nesterov,350,0.14444325095155486,0.010771851299481452,output_weight_count,100000,100000,0.001
Nesterov,400,0.11079253475749345,0.007381536692112556,output_weight_count,100000,100000,0.001
Nesterov,450,0.10143434226445103,0.005977209932910722,output_weight_count,100000,100000,0.001
Nesterov,500,0.08311735143331164,0.004457845154608342,output_weight_count,100000,100000,0.001
Nesterov,550,0.06938025241472419,0.003347726042275222,output_weight_count,100000,100000,0.001
Nesterov,600,0.060610385242911485,0.0025320554948645713,output_weight_count,100000,100000,0.001
Nesterov,650,0.05068891421009843,0.0019703431521407473,output_weight_count,100000,100000,0.001
Nesterov,700,0.04349309012071277,0.0014474957998579976,output_weight_count,100000,100000,0.001
Nesterov,750,0.0378773806241888,0.001088076233463315,output_weight_count,100000,100000,0.001
Nesterov,800,0.030256917849411823,0.0008037269622429514,output_weight_count,100000,100000,0.001
Nesterov,850,0.030038476727331145,0.000688785555096558,output_weight_count,100000,100000,0.001
Nesterov,900,0.020896066055621474,0.00044113323323232735,output_weight_count,100000,100000,0.001
Nesterov,950,0.022282199594337464,0.0003850942703299432,output_weight_count,100000,100000,0.001
Nesterov,1000,0.01588863911004498,0.0002652935377568874,output_weight_count,100000,100000,0.001
Nesterov,1050,0.016474557025378048,0.00022249870477123943,output_weight_count,100000,100000,0.001
Nesterov,1100,0.011924132870642062,0.00014920485249510576,output_weight_count,100000,100000,0.001
Nesterov,1150,0.012051687599293912,0.0001316931501548057,output_weight_count,100000,100000,0.001
Nesterov,1200,0.009491020826771128,9.144831569797042e-05,output_weight_count,100000,100000,0.001
Nesterov,1250,0.008390494734257738,7.053616730826572e-05,output_weight_count,100000,100000,0.001
Nesterov,1300,0.007311081656794356,5.553503894517066e-05,output_weight_count,100000,100000,0.001
Nesterov,1350,0.006480763509152019,4.195302680454378e-05,output_weight_count,100000,100000,0.001
Nesterov,1400,0.005103483349269915,2.9625406993628173e-05,output_weight_count,100000,100000,0.001
Nesterov,1450,0.004998541458501366,2.4678686723098725e-05,output_weight_count,100000,100000,0.001
Nesterov,1500,0.0038432143687328457,1.820152517411841e-05,output_weight_count,100000,100000,0.001
Nesterov,1550,0.0036788828111106275,1.4545612915691647e-05,output_weight_count,100000,100000,0.001
Nesterov,1600,0.0030020407064141955,1.0854561765994211e-05,output_weight_count,100000,100000,0.001
Nesterov,1650,0.0026249571283735703,8.243106245468812e-06,output_weight_count,100000,100000,0.001
Nesterov,1700,0.0023870039565681758,6.476837684090547e-06,output_weight_count,100000,100000,0.001
Nesterov,1750,0.0018245825221068462,4.638564156649733e-06,output_weight_count,100000,100000,0.001
Nesterov,1800,0.0018708868380258423,3.966676203049496e-06,output_weight_count,100000,100000,0.001
Nesterov,1850,0.001408043789912934,2.78512594500957e-06,output_weight_count,100000,100000,0.001
Nesterov,1900,0.0013206180638084084,2.0938376664066116e-06,output_weight_count,100000,100000,0.001
Nesterov,1950,0.0010968602461956902,1.654292957212547e-06,output_weight_count,100000,100000,0.001
Nesterov,2000,0.0010181299374566904,1.2977644180955927e-06,output_weight_count,100000,100000,0.001
Nesterov,2004,0.0009958130361428787,1.260284789628835e-06,output_weight_count,100000,100000,0.001
