rho,method,epsilon,output_weight_count,hidden_width,q_dimension,n_train,n_test,n_features,n_classes,lambda_reg,estimated_L,mu,condition_number,alpha,beta,converged,iterations,time_seconds,initial_gradient_norm,final_gradient_norm,objective_value,objective_gap_to_reference,relative_error_to_reference,train_accuracy,test_accuracy
0.1,Heavy Ball,1e-06,10000,100,101,1000,350,100,100,0.001,42.62142450905063,0.001,42621.42450905062,0.09294690177816746,0.9808111521950432,False,500,0.0634114170097746,0.8268278339392597,0.03660290052116663,0.39002741092033893,1.900249316916236e-05,0.008523859437893447,0.97,0.4942857142857143
0.1,Nesterov,1e-06,10000,100,101,1000,350,100,100,0.001,42.62142450905063,0.001,42621.42450905062,0.02346237863982352,0.9903591026466325,False,500,0.08831041600205936,0.8268278339392597,0.0021645290076074573,0.3900678359882385,5.94275610687478e-05,0.08524221726411632,0.97,0.48857142857142855
0.5,Heavy Ball,1e-06,10000,100,101,1000,350,100,100,0.001,47.06569125903045,0.001,47065.69125903045,0.08420949127976751,0.9817310635724169,False,500,0.07764362500165589,0.8228007590119051,0.0364692802556542,0.3614364366164496,2.1365101061432412e-05,0.009238243905312582,0.99,0.8114285714285714
0.5,Nesterov,1e-06,10000,100,101,1000,350,100,100,0.001,47.06569125903045,0.001,47065.69125903045,0.021246899243366174,0.9908234270405686,False,500,0.08220216701738536,0.8228007590119051,0.00368487092658759,0.3615635110719926,0.00014843955660442942,0.11384227063749855,0.99,0.8028571428571428
0.9,Heavy Ball,1e-06,10000,100,101,1000,350,100,100,0.001,76.73674647497242,0.001,76736.74647497242,0.051751949401955016,0.985663986396412,False,500,0.07526991699705832,0.821200995034403,0.05904332590163486,0.25669203231804244,0.0001241149856717194,0.0308600589393082,1.0,0.9971428571428571
0.9,Nesterov,1e-06,10000,100,101,1000,350,100,100,0.001,76.73674647497242,0.001,76736.74647497242,0.013031566308667367,0.992806117223505,False,500,0.05550445901462808,0.821200995034403,0.01378414637003094,0.25793533919255474,0.001367421860184015,0.17506554027094792,1.0,0.9971428571428571
