analysis_group,dataset_name,scenario_type,sweep_parameter,sweep_value,epsilon,method,iteration,grad_norm,objective_gap_to_reference,relative_error_to_reference
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,460,0.00011950183521005737,9.498620592851559e-08,0.0010977201615758867
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,480,9.982313006997357e-05,6.869506977147388e-08,0.000947046207036036
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,500,9.182048323890705e-05,5.66703033944016e-08,0.0008480555398578424
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,520,8.045531658780826e-05,4.5234750251088585e-08,0.0007736327310952041
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,540,7.287592226649982e-05,3.611508736511837e-08,0.0006807526985820494
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,560,6.361541847649835e-05,2.8639442928302117e-08,0.0006168243938018724
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,580,5.922789596163128e-05,2.4369153306391667e-08,0.0005651261691470101
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,600,5.099349648084547e-05,1.832009094426823e-08,0.0004920636704233717
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,620,4.795247451118854e-05,1.6422888465816854e-08,0.0004685891486182975
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,640,4.17081553455096e-05,1.2244924518789446e-08,0.00040272355159909725
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,660,3.8935813106125276e-05,1.0965791663597457e-08,0.00038431750595867476
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,680,3.437809588846511e-05,8.444694499232241e-09,0.0003365572499663877
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,700,3.181149139243553e-05,7.349110819898641e-09,0.00031520609263318915
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,720,2.861665136678711e-05,5.923323331824548e-09,0.0002829515343351222
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,740,2.6005147375765497e-05,4.963428001936165e-09,0.00026042401152813667
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,760,2.4094361734346487e-05,4.220377353147953e-09,0.0002390248493433923
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,780,2.1262106210443832e-05,3.357095074152383e-09,0.00021533904539060845
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,800,2.042149512968295e-05,3.0609368650846847e-09,0.00020427264159782164
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,820,1.7518176659152233e-05,2.280162142431763e-09,0.00017752429638084316
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,840,1.7250520330380002e-05,2.2232553020806733e-09,0.00017536447913361094
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,860,1.4689648693294814e-05,1.5984020773629481e-09,0.00014837385513816979
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,880,1.4421992538840172e-05,1.570808844109095e-09,0.00014813809674717738
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,900,1.2611369554671697e-05,1.1916160280733834e-09,0.00012858966527451657
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,920,1.188768341028608e-05,1.0635272384984518e-09,0.00012178980775863077
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,940,1.1009566538850015e-05,9.272776158031348e-10,0.0001143658354527301
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,960,9.796378291843438e-06,7.156592263246608e-10,9.952195628067715e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,980,9.513814531764269e-06,7.037018745492674e-10,0.00010028491706320277
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1000,8.329156575096997e-06,5.174339845481768e-10,8.461685066689431e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1020,7.962538094555061e-06,4.958125576770556e-10,8.436628411894826e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1040,7.373650654070743e-06,4.1083356161486506e-10,7.582656418274577e-05
