rho,method,epsilon,output_weight_count,condition_number,iteration,relative_gap,grad_norm,objective_value,objective_gap_to_reference,relative_error_to_reference
0.5,Nesterov,1e-06,10000,47065.69125903045,400.0,0.00043573735524682355,0.007110242354080079,0.361850808870635,0.00043573735524682355,0.17758573861441768
0.5,Nesterov,1e-06,10000,47065.69125903045,450.0,0.0002801229380991477,0.005388822854877027,0.3616951944534873,0.0002801229380991477,0.1450744235470119
0.5,Nesterov,1e-06,10000,47065.69125903045,500.0,0.00014843955660442942,0.00368487092658759,0.3615635110719926,0.00014843955660442942,0.11384227063749855
0.9,Heavy Ball,1e-06,10000,76736.74647497242,0.0,0.24343208266762928,0.821200995034403,0.5,0.24343208266762928,1.0
0.9,Heavy Ball,1e-06,10000,76736.74647497242,50.0,0.07735041665048897,1.4666651964647714,0.3339183339828597,0.07735041665048897,0.7009509609207651
0.9,Heavy Ball,1e-06,10000,76736.74647497242,100.0,0.04349352245509269,1.4805685424837398,0.3000614397874634,0.04349352245509269,0.4958443362897126
0.9,Heavy Ball,1e-06,10000,76736.74647497242,150.0,0.022118601363199986,1.0720377907281338,0.2786865186955707,0.022118601363199986,0.3612747275324468
0.9,Heavy Ball,1e-06,10000,76736.74647497242,200.0,0.008626980098456805,0.5705678241006508,0.2651948974308275,0.008626980098456805,0.2582346412426633
0.9,Heavy Ball,1e-06,10000,76736.74647497242,250.0,0.0036498423333017893,0.1834619105264795,0.2602177596656725,0.0036498423333017893,0.18070612951682602
0.9,Heavy Ball,1e-06,10000,76736.74647497242,300.0,0.0018042148330459362,0.12040540256600865,0.25837213216541666,0.0018042148330459362,0.12159020945177798
0.9,Heavy Ball,1e-06,10000,76736.74647497242,350.0,0.0010245488500956745,0.18821505790212192,0.2575924661824664,0.0010245488500956745,0.08356311010414756
0.9,Heavy Ball,1e-06,10000,76736.74647497242,400.0,0.000570536584550807,0.17466523966155326,0.2571384539169215,0.000570536584550807,0.05919706816770811
0.9,Heavy Ball,1e-06,10000,76736.74647497242,450.0,0.0002811151838920112,0.11909894968081772,0.25684903251626273,0.0002811151838920112,0.04271645767198363
0.9,Heavy Ball,1e-06,10000,76736.74647497242,500.0,0.0001241149856717194,0.05904332590163486,0.25669203231804244,0.0001241149856717194,0.0308600589393082
0.9,Nesterov,1e-06,10000,76736.74647497242,0.0,0.24343208266762928,0.821200995034403,0.5,0.24343208266762928,1.0
0.9,Nesterov,1e-06,10000,76736.74647497242,50.0,0.0688967680013034,0.18030453089208218,0.3254646853336741,0.0688967680013034,0.8332812094954435
0.9,Nesterov,1e-06,10000,76736.74647497242,100.0,0.04409803858632694,0.13499276634763083,0.30066595591869766,0.04409803858632694,0.6934898356655679
0.9,Nesterov,1e-06,10000,76736.74647497242,150.0,0.026589477612699808,0.09666447863008222,0.28315739494507053,0.026589477612699808,0.5788321070470909
0.9,Nesterov,1e-06,10000,76736.74647497242,200.0,0.016532687122620626,0.06921936347383724,0.27310060445499135,0.016532687122620626,0.48716054701793476
0.9,Nesterov,1e-06,10000,76736.74647497242,250.0,0.010354493279420451,0.05043001643507123,0.26692241061179117,0.010354493279420451,0.41218278705720635
0.9,Nesterov,1e-06,10000,76736.74647497242,300.0,0.007005814991634107,0.03914072479092291,0.26357373232400483,0.007005814991634107,0.3531317638815523
0.9,Nesterov,1e-06,10000,76736.74647497242,350.0,0.0049284294244770765,0.031068371928990264,0.2614963467568478,0.0049284294244770765,0.3015229670564747
0.9,Nesterov,1e-06,10000,76736.74647497242,400.0,0.0028648899223324142,0.022224404769688833,0.25943280725470313,0.0028648899223324142,0.2517997266991943
0.9,Nesterov,1e-06,10000,76736.74647497242,450.0,0.0020899149416152007,0.01817782818922078,0.2586578322739859,0.0020899149416152007,0.21157786842504422
0.9,Nesterov,1e-06,10000,76736.74647497242,500.0,0.001367421860184015,0.01378414637003094,0.25793533919255474,0.001367421860184015,0.17506554027094792
