dataset,case_type,algorithm,hidden_layer_size,output_weight_count,q_dimension,minimum_value,computational_time_seconds,residual_norm,absolute_error_to_known_optimum,relative_error_to_known_optimum,relative_difference_to_our_ldlt
wine,real_primal,LDLT,3333,9999,3334,0.0008800068231190922,5.591279207990738,2.2259473136779527e-14,,,0.0
wine,real_primal,SciPy LDLT,3333,9999,3334,0.0008800068231190921,0.3804417080245912,5.622576110349614e-15,,,9.368758424633633e-13
digits,real_primal,LDLT,1000,10000,1001,0.046090586686135054,0.5529929580225144,6.460755116281845e-15,,,0.0
digits,real_primal,SciPy LDLT,1000,10000,1001,0.046090586686135054,0.021695499977795407,6.374390306493123e-15,,,1.183315257592464e-13
synthetic_known_optimum,known_solution,LDLT,159,954,160,-564.3505005298907,0.013469083001837134,1.9104285526375448e-14,1.995309224732066e-14,6.650846462492627e-16,0.0
synthetic_known_optimum,known_solution,SciPy LDLT,159,954,160,-564.3505005298906,0.0043576669995673,2.7567983918075097e-14,2.6821620639788372e-14,8.940292488970466e-16,6.49536522766717e-16
