analysis_group,dataset_name,scenario_type,sweep_parameter,sweep_value,epsilon,method,iteration,grad_norm,objective_gap_to_reference,relative_error_to_reference
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,200,0.006420274221926124,4.685216089303501e-05,0.02072849525618548
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,250,0.002185820001348581,6.174675696940524e-06,0.007803772463702745
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,300,0.0007703761015674355,9.004114247326833e-07,0.003061810544249271
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,350,0.0002724651191790493,1.2512616506810126e-07,0.0011920408640024509
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,400,0.00010114464710101818,1.9397649181351895e-08,0.00047858859028968
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,450,3.6124733339627435e-05,2.74273675299197e-09,0.0001867988976185727
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,500,1.3253992682968708e-05,3.8786922285094505e-10,7.172023999120066e-05
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,550,5.098525345573437e-06,6.212191872023709e-11,2.8728002516020642e-05
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,600,1.8224715123079546e-06,8.528198980339852e-12,1.0948349417246187e-05
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,0.001,Heavy Ball,0,2.9791057223565134,0.4595969221204595,0.9207869326351588
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,0.001,Heavy Ball,50,0.9961400188932762,0.00789998040597567,0.06921334128816742
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,0.001,Heavy Ball,100,0.12619548943558428,0.00011013738377468885,0.006284272323454212
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,0.001,Heavy Ball,150,0.011075865931138346,8.464622515969022e-07,0.0005393324044451947
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,0.001,Nesterov,0,2.9791057223565134,0.4595969221204595,0.9207869326351588
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,0.001,Nesterov,50,0.0860141696243934,0.004855178041522024,0.22818711201749473
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,0.001,Nesterov,100,0.01742997841623503,0.00029497320980655106,0.05644992231053177
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,0.001,Nesterov,150,0.00322417965964603,1.9849629293786086e-05,0.01688877722986888
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-05,Heavy Ball,0,2.9791057223565134,0.4595969221204595,0.9207869326351588
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-05,Heavy Ball,50,0.9961400188932762,0.00789998040597567,0.06921334128816742
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-05,Heavy Ball,100,0.12619548943558428,0.00011013738377468885,0.006284272323454212
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-05,Heavy Ball,150,0.011075865931138346,8.464622515969022e-07,0.0005393324044451947
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-05,Heavy Ball,200,0.0007052919373211963,3.6511075413026006e-09,3.9791074815549046e-05
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-05,Heavy Ball,250,2.4385364559833772e-05,7.053649331290046e-12,3.341570011519864e-06
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-05,Nesterov,0,2.9791057223565134,0.4595969221204595,0.9207869326351588
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-05,Nesterov,50,0.0860141696243934,0.004855178041522024,0.22818711201749473
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-05,Nesterov,100,0.01742997841623503,0.00029497320980655106,0.05644992231053177
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-05,Nesterov,150,0.00322417965964603,1.9849629293786086e-05,0.01688877722986888
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-05,Nesterov,200,0.0008781140480985326,1.5016277774004827e-06,0.004752573781040162
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-05,Nesterov,250,0.00021474347214988832,8.679273034994939e-08,0.0011611648272865718
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-05,Nesterov,300,5.799669053508463e-05,8.729081721337018e-09,0.0003790889894050866
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-05,Nesterov,350,1.508854334566178e-05,5.719815038274234e-10,9.902381811729108e-05
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-06,Heavy Ball,0,2.9791057223565134,0.4595969221204595,0.9207869326351588
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-06,Heavy Ball,50,0.9961400188932762,0.00789998040597567,0.06921334128816742
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-06,Heavy Ball,100,0.12619548943558428,0.00011013738377468885,0.006284272323454212
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-06,Heavy Ball,150,0.011075865931138346,8.464622515969022e-07,0.0005393324044451947
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-06,Heavy Ball,200,0.0007052919373211963,3.6511075413026006e-09,3.9791074815549046e-05
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-06,Heavy Ball,250,2.4385364559833772e-05,7.053649331290046e-12,3.341570011519864e-06
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-06,Nesterov,0,2.9791057223565134,0.4595969221204595,0.9207869326351588
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-06,Nesterov,50,0.0860141696243934,0.004855178041522024,0.22818711201749473
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-06,Nesterov,100,0.01742997841623503,0.00029497320980655106,0.05644992231053177
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-06,Nesterov,150,0.00322417965964603,1.9849629293786086e-05,0.01688877722986888
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-06,Nesterov,200,0.0008781140480985326,1.5016277774004827e-06,0.004752573781040162
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-06,Nesterov,250,0.00021474347214988832,8.679273034994939e-08,0.0011611648272865718
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-06,Nesterov,300,5.799669053508463e-05,8.729081721337018e-09,0.0003790889894050866
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-06,Nesterov,350,1.508854334566178e-05,5.719815038274234e-10,9.902381811729108e-05
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-06,Nesterov,400,3.3597633429097496e-06,3.450022212359016e-11,2.6040760846076326e-05
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-07,Heavy Ball,0,2.9791057223565134,0.4595969221204595,0.9207869326351588
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-07,Heavy Ball,50,0.9961400188932762,0.00789998040597567,0.06921334128816742
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-07,Heavy Ball,100,0.12619548943558428,0.00011013738377468885,0.006284272323454212
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,1e-07,Heavy Ball,150,0.011075865931138346,8.464622515969022e-07,0.0005393324044451947
