algorithm,dimensionality,computational_time
LDLT,10000,0.00446216699492652
Heavy Ball,10000,0.0017813329977798276
Nesterov,10000,0.002012874996580649
LDLT,50000,0.15561829099897295
Heavy Ball,50000,0.046940250002080575
Nesterov,50000,0.06303137500071898
LDLT,100000,0.5028680410032393
Heavy Ball,100000,0.14114250000420725
Nesterov,100000,0.16000516699568834
